call_sign,dma,network_affiliate,fcc_callsign,fcc_dma,
KPTHDT,SIOUX CITY,FOX,KPTH,SIOUX CITY,
APLHD,LOS ANGELES,,,,
WMBFDT,MYRTLE BEACH-FLORENCE,N/A,WMBF-TV,MYRTLE BEACH-FLORENCE,
WWTVDT2,TRAVERSE CITY-CADILLAC,CBS,WWTV,TRAVERSE CITY-CADILLAC,
WRCBDT,CHATTANOOGA,NBC,WRCB,CHATTANOOGA,
WJCLDT,SAVANNAH,ABC,WJCL,SAVANNAH,
WCNCDT,CHARLOTTE,NBC,WCNC-TV,CHARLOTTE,
HBO2HD,LOS ANGELES,,,,
KGPEDT,FRESNO-VISALIA,CBS,KGPE,FRESNO-VISALIA,
WRGTDT,DAYTON,FOX,WRGT-TV,DAYTON,
WSILDT,PADUCAH-CAPE GIRARD-HARSBG,ABC,WSIL-TV,PADUCAH-CAPE GIRARD-HARSBG,
KWWLDT2,CEDAR RAPIDS-WTRLO-IWC&DUB,NBC,KWWL,CEDAR RAPIDS-WTRLO-IWC&DUB,
WOLODT,COLUMBIA SC,ABC,WOLO-TV,COLUMBIA SC,
WPNTDT,PITTSBURGH,MYTV,WPNT,PITTSBURGH,
WSAZDT,CHARLESTON-HUNTINGTON,NBC,WSAZ-TV,CHARLESTON-HUNTINGTON,
TMCHD,LOS ANGELES,,,,
WISCDT,MADISON,CBS,WISC-TV,MADISON,
KTTVDT,LOS ANGELES,FOX,KTTV,LOS ANGELES,
KRONDT,SAN FRANCISCO-OAK-SAN JOSE,MNT,KRON-TV,SAN FRANCISCO-OAK-SAN JOSE,
WYESDT,NEW ORLEANS,PBS,WYES-TV,NEW ORLEANS,
KFORDT,OKLAHOMA CITY,NBC,KFOR-TV,OKLAHOMA CITY,
WSTRDT,CINCINNATI,MYTV,WSTR-TV,CINCINNATI,
WTVTDT,TAMPA-ST. PETE (SARASOTA),FOX,WTVT,TAMPA-ST. PETE (SARASOTA),
EHD,LOS ANGELES,,,,
WHECDT,ROCHESTER NY,NBC,WHEC-TV,ROCHESTER NY,
ESQHD,PHILADELPHIA,,,,
WCIADT,CHAMPAIGN&SPRNGFLD-DECATUR,CBS,WCIA,CHAMPAIGN&SPRNGFLD-DECATUR,
